benchmark,pair,category,gamma_median,hdi_low,hdi_high,verdict
FrontierMath Tier 4,ReasoningxAgentic,High End Math Reasoning,0.03280484679370478,-0.18167375307641961,0.2654999323999312,~compensatory
GPQA Diamond Biology,ReasoningxAgentic,Biology,0.03278152449584923,-0.2766925071244916,0.24220424916899153,~compensatory
SWE-Bench Pro (Private),ReasoningxKnowledge,Autonomous SWE,0.03275831304086382,-0.21395627919331386,0.30947229158234896,~compensatory
CAD-Eval,ReasoningxAgentic,Multimodal Understanding,0.0327134684577292,-0.2249963698396357,0.29083289656494155,~compensatory
WeirdML,ReasoningxKnowledge,Autonomous SWE,0.03185074543104841,-0.2288534324336674,0.15326937662298573,~compensatory
PostTrainBench,ReasoningxKnowledge,Autonomous SWE,0.030658442623531547,-0.16950074936407328,0.25001982441864506,~compensatory
GPQA Diamond,ReasoningxKnowledge,Domain Specific Questions,0.025184392471781544,-0.07603231321519356,0.10266556958023186,~compensatory
MultiNRC,KnowledgexAgentic,Advanced Language and Writing,0.024107278055598945,-0.19696654843586356,0.23779295620750107,~compensatory
GPQA Diamond,ReasoningxAgentic,Domain Specific Questions,0.023015963701055915,-0.15941017414691885,0.12950289998824513,~compensatory
AudioMultiChallenge,KnowledgexAgentic,Multimodal Understanding,0.022303702216163557,-0.24370871987506934,0.2601050858762819,~compensatory
SEAL Instruction Following,KnowledgexAgentic,Advanced Language and Writing,0.02177338020765581,-0.23421181149750853,0.27638089789445813,~compensatory
Lech Mazur Writing,ReasoningxKnowledge,Advanced Language and Writing,0.021400414011602198,-0.21349746662745853,0.30334028439901084,~compensatory
VisualToolBench,ReasoningxKnowledge,Multimodal Understanding,0.02050656385307658,-0.21291373151606477,0.2558080035667485,~compensatory
EnigmaEval,KnowledgexAgentic,General Reasoning,0.02033765843025267,-0.22960741238789756,0.2662320783946379,~compensatory
PostTrainBench,KnowledgexAgentic,Autonomous SWE,0.019063945624216698,-0.22682215699303374,0.23922669795873147,~compensatory
GeoBench,KnowledgexAgentic,Multimodal Understanding,0.01821032299562673,-0.22343259532389645,0.273535524689638,~compensatory
SEAL Instruction Following,ReasoningxKnowledge,Advanced Language and Writing,0.017207517922041594,-0.23263728646772297,0.27978738610826004,~compensatory
APEX Agents,KnowledgexAgentic,Core AGI Progress,0.01720324851261437,-0.25313436883137463,0.29214765011425026,~compensatory
BIG-Bench Hard (BBH),ReasoningxKnowledge,Domain Specific Questions,0.015881227282526653,-0.13317886745308152,0.168810698175146,~compensatory
Remote Labor Index,ReasoningxAgentic,Core AGI Progress,0.015469457904576734,-0.25688201261297133,0.2716857576464746,~compensatory
Lech Mazur Writing,KnowledgexAgentic,Advanced Language and Writing,0.013413817943010716,-0.2331584700041076,0.2590855186570146,~compensatory
OS World (Screenshot),ReasoningxAgentic,Agentic Computer Use,0.012945404218025487,-0.2518867648586385,0.27920610590380723,~compensatory
VisualToolBench,ReasoningxAgentic,Multimodal Understanding,0.01158353739930988,-0.25422835424528056,0.2704638873421864,~compensatory
MultiNRC,ReasoningxAgentic,Advanced Language and Writing,0.011565474627142108,-0.19430122347287201,0.21212108138049932,~compensatory
BoolQ,ReasoningxKnowledge,General Reasoning,0.01137301310974232,-0.18229018262042984,0.13932887239186115,~compensatory
BALROG,KnowledgexAgentic,General Reasoning,0.009818247426525461,-0.27508734829168324,0.3184603321818082,~compensatory
WinoGrande,ReasoningxKnowledge,General Reasoning,0.00737130249573759,-0.1919594478582683,0.12454862684628487,~compensatory
SimpleQA Verified,ReasoningxAgentic,Domain Specific Questions,0.007101724422790031,-0.22936825703615596,0.2545136063043878,~compensatory
ScienceQA,ReasoningxAgentic,Domain Specific Questions,0.006530270665318984,-0.2622735280338343,0.26962977663935717,~compensatory
ARC (AI2),ReasoningxKnowledge,Domain Specific Questions,0.005669105867920375,-0.1905216704575954,0.1906315041215201,~compensatory
CAD-Eval,ReasoningxKnowledge,Multimodal Understanding,0.005622995834473833,-0.253276128180215,0.2901116627765398,~compensatory
Video-MME,KnowledgexAgentic,Multimodal Understanding,0.004683332694372735,-0.21564532961338811,0.23071048609853684,~compensatory
AudioMultiChallenge,ReasoningxAgentic,Multimodal Understanding,0.0034833750159959384,-0.24230742460226298,0.2574182906746723,~compensatory
LAB-Bench SeqQA,ReasoningxKnowledge,Biology,0.0028154307332591633,-0.1599986031313095,0.16591068228011033,~compensatory
CAD-Eval,KnowledgexAgentic,Multimodal Understanding,0.0011912178012389125,-0.24678623449910625,0.2763168217607966,~compensatory
GPQA Main Chemistry,ReasoningxKnowledge,Chemistry,-0.0005151731316058877,-0.25422662840323323,0.18444191373134702,~compensatory
LiveBench,ReasoningxKnowledge,Core AGI Progress,-0.0007609678362350402,-0.3413905331183646,0.34535090824534664,~compensatory
Humanity's Last Exam,ReasoningxKnowledge,Domain Specific Questions,-0.002281408375899387,-0.13820630260036804,0.21861461097926047,~compensatory
GPQA Diamond Biology,ReasoningxKnowledge,Biology,-0.002539900261779935,-0.23530786839492787,0.22077400545448264,~compensatory
Cybench,ReasoningxAgentic,Agentic Computer Use,-0.002884203989179622,-0.25442265429755934,0.2600345949741067,~compensatory
SWE-Bench Pro,KnowledgexAgentic,Autonomous SWE,-0.003195397911939764,-0.2867988156750516,0.23646576586879595,~compensatory
TutorBench,KnowledgexAgentic,Advanced Language and Writing,-0.006108813164878066,-0.22064070222507828,0.18645613531852917,~compensatory
Aider Polyglot,KnowledgexAgentic,Autonomous SWE,-0.007363134968630319,-0.2630453689098508,0.21924425480420662,~compensatory
METR Time Horizons,ReasoningxKnowledge,Autonomous SWE,-0.008217436371299043,-0.15457289312870343,0.13028011748931942,~compensatory
MATH Level 5,ReasoningxKnowledge,High End Math Reasoning,-0.008402897241135358,-0.22038930152643482,0.22537397698849215,~compensatory
DeepResearchBench,ReasoningxAgentic,Agentic Computer Use,-0.009938595531999021,-0.23500171712295748,0.21415392758298038,~compensatory
GeoBench,ReasoningxAgentic,Multimodal Understanding,-0.010322919336504493,-0.2637083328136479,0.24675514510497049,~compensatory
SuperGLUE,ReasoningxKnowledge,General Reasoning,-0.01076442249719692,-0.26073821305435413,0.2577794445515009,~compensatory
LiveBench,ReasoningxAgentic,Core AGI Progress,-0.011932650997089116,-0.23217660130412007,0.22986666611354795,~compensatory
CSQA2,ReasoningxKnowledge,General Reasoning,-0.013268025602995934,-0.2572965565105421,0.22139888868795096,~compensatory
ScienceQA,ReasoningxKnowledge,Domain Specific Questions,-0.01339637753282189,-0.3384178486467501,0.28599122093699725,~compensatory
MCP Atlas,ReasoningxKnowledge,Agentic Computer Use,-0.018050903775783535,-0.22567768138459257,0.22655807738373612,~compensatory
Lech Mazur Writing,ReasoningxAgentic,Advanced Language and Writing,-0.020441075393547056,-0.2314049600152543,0.21945119202964972,~compensatory
SuperGLUE,KnowledgexAgentic,General Reasoning,-0.020970062706374595,-0.26156231209648934,0.23559538820982814,~compensatory
Video-MME,ReasoningxAgentic,Multimodal Understanding,-0.02174965181623205,-0.2617718900660744,0.19586903623452867,~compensatory
SimpleQA Verified,ReasoningxKnowledge,Domain Specific Questions,-0.023146997928688427,-0.2320202983355907,0.2702778279642174,~compensatory
BoolQ,ReasoningxAgentic,General Reasoning,-0.023182186106898837,-0.1711601090629841,0.07627698108529186,~compensatory
Humanity's Last Exam,ReasoningxAgentic,Domain Specific Questions,-0.023628964947886126,-0.26851263811340004,0.19938460040387324,~compensatory
BioLP-bench,ReasoningxKnowledge,Biology,-0.023772438640593946,-0.2701935766679949,0.3134590707883626,~compensatory
ARC (AI2),ReasoningxAgentic,Domain Specific Questions,-0.023974533634333155,-0.35074057051840013,0.19769988651329867,~compensatory
ARC-AGI,KnowledgexAgentic,Core AGI Progress,-0.025082346484561552,-0.6127996431995578,0.16936489739418695,~compensatory
SuperGLUE,ReasoningxAgentic,General Reasoning,-0.02646757844696422,-0.25942735531489713,0.2193434860077443,~compensatory
LAB-Bench Protocol,ReasoningxKnowledge,Biology,-0.026817174174629713,-0.2073595218118247,0.21063871982304658,~compensatory
GPQA Main Chemistry,ReasoningxAgentic,Chemistry,-0.027039233758082093,-0.1740846684373158,0.11839513454999259,~compensatory
TriviaQA,KnowledgexAgentic,Domain Specific Questions,-0.027773708776330962,-0.2639037814201805,0.23519330171431496,~compensatory
GPQA Main Biology,ReasoningxAgentic,Biology,-0.028329894436454804,-0.23761914498673434,0.20554392678950656,~compensatory
GPQA Diamond,KnowledgexAgentic,Domain Specific Questions,-0.028757076569370897,-0.2561326496025787,0.16484996747146718,~compensatory
Adversarial NLI,ReasoningxKnowledge,General Reasoning,-0.029873950262775038,-0.24723952907023222,0.18128883465578463,~compensatory
SWE-Bench Pro (Private),ReasoningxAgentic,Autonomous SWE,-0.030118030359878055,-0.28547587627366255,0.21534307808475714,~compensatory
The Agent Company,ReasoningxKnowledge,Agentic Computer Use,-0.030285774697842088,-0.30371266144585696,0.2784788079498006,~compensatory
MCP Atlas,ReasoningxAgentic,Agentic Computer Use,-0.03041031937147842,-0.2547037502348247,0.22169533855336188,~compensatory
Cybench,KnowledgexAgentic,Agentic Computer Use,-0.03046619147239297,-0.27459176211349334,0.23436830461142652,~compensatory
LiveBench,KnowledgexAgentic,Core AGI Progress,-0.03347323748163714,-0.3288153534705223,0.16848680044780054,~compensatory
Remote Labor Index,KnowledgexAgentic,Core AGI Progress,-0.03544240853737211,-0.29255369108407203,0.2254155699071246,~compensatory
PIQA,KnowledgexAgentic,General Reasoning,-0.03634686104157667,-0.15639318988748133,0.04016752920158234,~compensatory
SWE-Bench Verified,KnowledgexAgentic,Autonomous SWE,-0.039450631351084925,-0.31375791553034266,0.23261470109345084,~compensatory
APEX Agents,ReasoningxKnowledge,Core AGI Progress,-0.039765692754436144,-0.27790267881189296,0.4700974148659576,~compensatory
CSQA2,KnowledgexAgentic,General Reasoning,-0.04153687658486355,-0.26179921469369755,0.18700384348918053,~compensatory
SWE-Bench Pro (Private),KnowledgexAgentic,Autonomous SWE,-0.04220460083025833,-0.30806395014986765,0.20261587273630066,~compensatory
BALROG,ReasoningxKnowledge,General Reasoning,-0.044393667302363465,-0.2272126291804324,0.11906112207472538,~compensatory
DeepResearchBench,KnowledgexAgentic,Agentic Computer Use,-0.045631309038655005,-0.2987438531424944,0.2017659810973128,~compensatory
TutorBench,ReasoningxKnowledge,Advanced Language and Writing,-0.04729166135926133,-0.17341278190817927,0.1539158872317014,~compensatory
LAB-Bench Cloning,ReasoningxKnowledge,Biology,-0.04874552252843085,-0.282306880834718,0.21818703121298447,~compensatory
MMLU Chemistry,ReasoningxKnowledge,Chemistry,-0.04936361143117761,-0.2299787854248534,0.14024887949737253,~compensatory
BoolQ,KnowledgexAgentic,General Reasoning,-0.05065660127268005,-0.1881914351790568,0.18732333530617895,~compensatory
LAB-Bench LitQA2,ReasoningxKnowledge,Biology,-0.051361603602999344,-0.19067410658952558,0.11656793562590165,~compensatory
MMLU Pro Biology,ReasoningxKnowledge,Biology,-0.052573165741427806,-0.31754170019608785,0.21648127254069224,~compensatory
PIQA,ReasoningxAgentic,General Reasoning,-0.05483981130752694,-0.12428652579528716,0.03708316235456783,~compensatory
OpenBookQA,ReasoningxAgentic,Domain Specific Questions,-0.05545731215806213,-0.3658013114693911,0.19529169371452987,~compensatory
BioLP-bench,KnowledgexAgentic,Biology,-0.05561080565898041,-0.29732600461056086,0.21623358796199393,~compensatory
WinoGrande,ReasoningxAgentic,General Reasoning,-0.05585206750071242,-0.17597833503959032,0.055372840700090534,~compensatory
ARC-AGI,ReasoningxKnowledge,Core AGI Progress,-0.05654873632877072,-0.19836668652996295,0.13468022644850555,~compensatory
DeepResearchBench,ReasoningxKnowledge,Agentic Computer Use,-0.05685597187908488,-0.2686555342473351,0.24666212835496418,~compensatory
LAB-Bench SeqQA,KnowledgexAgentic,Biology,-0.0577273229864678,-0.254513148771797,0.18685152106809327,~compensatory
PRBench Legal,KnowledgexAgentic,Domain Specific Questions,-0.05776181064608227,-0.27377698481247587,0.29185461821845415,~compensatory
LAB-Bench LitQA2,KnowledgexAgentic,Biology,-0.05882956647272596,-0.3106183395832683,0.1602022293036671,~compensatory
LAB-Bench Protocol,ReasoningxAgentic,Biology,-0.05883343361853077,-0.2514952220239738,0.1408684051188457,~compensatory
TerminalBench,KnowledgexAgentic,Agentic Computer Use,-0.05903272358016541,-0.2762960781026184,0.2241094571851369,~compensatory
PRBench Legal,ReasoningxKnowledge,Domain Specific Questions,-0.06003593771204006,-0.2524505006431144,0.15433859843445719,~compensatory
GSO-Bench,KnowledgexAgentic,Autonomous SWE,-0.06059329434351375,-0.2961646086911882,0.22374186045390368,~compensatory
GSO-Bench,ReasoningxAgentic,Autonomous SWE,-0.06087204152144285,-0.32384753650081266,0.17586075832361076,~compensatory
The Agent Company,ReasoningxAgentic,Agentic Computer Use,-0.062024135639241196,-0.35461661372313286,0.2076686803482724,~compensatory
MMLU Biology,ReasoningxKnowledge,Biology,-0.06282161470990427,-0.23361764988770833,0.12553690359719294,~compensatory
Video-MME,ReasoningxKnowledge,Multimodal Understanding,-0.06288821807722578,-0.2593871076781612,0.18194724469833568,~compensatory
GPQA Main Chemistry,KnowledgexAgentic,Chemistry,-0.0629515500228503,-0.23337148679397854,0.0808700020788872,~compensatory
PRBench Finance,ReasoningxKnowledge,Domain Specific Questions,-0.06304346506998476,-0.28027221171020683,0.19218296307934948,~compensatory
OS World (Screenshot),KnowledgexAgentic,Agentic Computer Use,-0.06555706832343818,-0.3567404915953484,0.23337886069352415,~compensatory
GPQA Main Biology,ReasoningxKnowledge,Biology,-0.06586033783157674,-0.31120767005488253,0.14092286481673894,~compensatory
SWE-Bench Pro,ReasoningxKnowledge,Autonomous SWE,-0.06626653813086641,-0.3271019834057216,0.28825146431815046,~compensatory
LAB-Bench LitQA2,ReasoningxAgentic,Biology,-0.06644781213114831,-0.24392665622544782,0.1323578917810357,~compensatory
Visual Task Assessment (VISTA),KnowledgexAgentic,Multimodal Understanding,-0.06669034903964527,-0.2096837369479798,0.06075499191272553,~compensatory
GSO-Bench,ReasoningxKnowledge,Autonomous SWE,-0.06705751574430593,-0.3868194712484829,0.285185379102447,~compensatory
GPQA Main Biology,KnowledgexAgentic,Biology,-0.07072724577443601,-0.27380321238887845,0.14561295029043705,~compensatory
WinoGrande,KnowledgexAgentic,General Reasoning,-0.07082975867576699,-0.19720772396588784,0.06704605946527499,~compensatory
GPQA Diamond Biology,KnowledgexAgentic,Biology,-0.07127073867334556,-0.358993503762303,0.1827295084444437,~compensatory
The Agent Company,KnowledgexAgentic,Agentic Computer Use,-0.0714122694920257,-0.3678222017527991,0.26085301085899265,~compensatory
MMLU Biology,KnowledgexAgentic,Biology,-0.07316974261692856,-0.2926436718916147,0.144759787592688,~compensatory
MMLU Chemistry,KnowledgexAgentic,Chemistry,-0.073281023415403,-0.256872614314122,0.17617682864028525,~compensatory
Aider Polyglot,ReasoningxKnowledge,Autonomous SWE,-0.07429329338559362,-0.3601010252792958,0.19972766175016926,~compensatory
WMDP Biology,ReasoningxAgentic,Biology,-0.07509698086577231,-0.367072872241461,0.24732343243911467,~compensatory
BIG-Bench Hard (BBH),KnowledgexAgentic,Domain Specific Questions,-0.07560655897680564,-0.1970687973315496,0.05406640467126765,~compensatory
LAB-Bench Cloning,ReasoningxAgentic,Biology,-0.07669774231600439,-0.32153186065920925,0.1725996636308549,~compensatory
SEAL Tool Use (Enterprise),ReasoningxKnowledge,Agentic Computer Use,-0.07702826189564059,-0.32705987755231436,0.19244535354937956,~compensatory
BioLP-bench,ReasoningxAgentic,Biology,-0.07743755941141967,-0.31905227020404936,0.17840159685221638,~compensatory
WMDP Chemistry,KnowledgexAgentic,Chemistry,-0.07984562937445513,-0.2397878514833302,0.07584321592282424,~compensatory
LAB-Bench Cloning,KnowledgexAgentic,Biology,-0.08097182790246177,-0.3144115718709499,0.16266649297131497,~compensatory
OTIS Mock AIME 2024-2025,KnowledgexAgentic,High End Math Reasoning,-0.0835031255117034,-0.28806968488801565,0.10373315400130972,~compensatory
PostTrainBench,ReasoningxAgentic,Autonomous SWE,-0.08418280107975384,-0.29835690956379535,0.1958292125318021,~compensatory
GPQA Diamond Chemistry,KnowledgexAgentic,Chemistry,-0.0845692965518748,-0.323936931534362,0.10922785096289189,~compensatory
SimpleBench,ReasoningxAgentic,General Reasoning,-0.08656845315751557,-0.2919028191024409,0.15013581834775763,~compensatory
SimpleBench,ReasoningxKnowledge,General Reasoning,-0.08666605422438409,-0.22529385960388176,0.15488857918672058,~compensatory
MMLU Pro Chemistry,KnowledgexAgentic,Chemistry,-0.08771830258545249,-0.3221395909158837,0.1629609456436092,~compensatory
MultiNRC,ReasoningxKnowledge,Advanced Language and Writing,-0.0881284351565168,-0.2656191073279098,0.25350442724646377,~compensatory
METR Time Horizons,ReasoningxAgentic,Autonomous SWE,-0.09053650724388429,-0.3002344159208952,0.21824128288452402,~compensatory
LAB-Bench Protocol,KnowledgexAgentic,Biology,-0.09054692266014608,-0.2914859079680417,0.13068945010626945,~compensatory
WeirdML,ReasoningxAgentic,Autonomous SWE,-0.09380926412087473,-0.33738444531297734,0.1745866111042862,~compensatory
SWE-Bench Verified,ReasoningxAgentic,Autonomous SWE,-0.09839127140941319,-0.32895209732719366,0.1226487123571878,~compensatory
BIG-Bench Hard (BBH),ReasoningxAgentic,Domain Specific Questions,-0.09890491678235008,-0.23215328815121677,0.16726768232445727,~compensatory
CSQA2,ReasoningxAgentic,General Reasoning,-0.10385768639423747,-0.342335507581055,0.17573134873417923,~compensatory
MMLU Pro Chemistry,ReasoningxKnowledge,Chemistry,-0.10505005792698677,-0.3409738028047501,0.14167354837885968,~compensatory
Visual Task Assessment (VISTA),ReasoningxKnowledge,Multimodal Understanding,-0.10600870922432194,-0.21566166929896377,0.11664236949901677,~compensatory
Adversarial NLI,KnowledgexAgentic,General Reasoning,-0.1060252518945704,-0.29982220262080567,0.21344625420909352,~compensatory
WMDP Chemistry,ReasoningxAgentic,Chemistry,-0.10860235137489124,-0.2789026338296604,0.07748330797847731,~compensatory
TutorBench,ReasoningxAgentic,Advanced Language and Writing,-0.11015226711408894,-0.2720197516554584,0.11131316190516717,~compensatory
SEAL Tool Use (Enterprise),ReasoningxAgentic,Agentic Computer Use,-0.11053378367050842,-0.4007875924853653,0.1981685773105876,~compensatory
PRBench Finance,KnowledgexAgentic,Domain Specific Questions,-0.11066592981556866,-0.3103905877447642,0.34638987369221885,~compensatory
GSM8K,ReasoningxAgentic,Domain Specific Questions,-0.11182592720308804,-0.3075325630331873,0.11665636492284592,~compensatory
WMDP Chemistry,ReasoningxKnowledge,Chemistry,-0.11219297905286531,-0.2614847106152441,0.26010709974068685,~compensatory
MATH Level 5,KnowledgexAgentic,High End Math Reasoning,-0.11221804965188767,-0.29827289019447734,0.10245786875005604,~compensatory
HellaSwag,ReasoningxAgentic,General Reasoning,-0.11395134707261177,-0.25643724390679573,-0.004729979021931224,sub-additive
Visual Task Assessment (VISTA),ReasoningxAgentic,Multimodal Understanding,-0.115754395682443,-0.23593269347015702,0.028279780065100426,~compensatory
LAMBADA,ReasoningxAgentic,General Reasoning,-0.11831070899073551,-0.343527923459747,0.26864829546687,~compensatory
MATH Level 5,ReasoningxAgentic,High End Math Reasoning,-0.12050207930063966,-0.33791736710875686,0.08763230249982537,~compensatory
EnigmaEval,ReasoningxKnowledge,General Reasoning,-0.12090273403283286,-0.35367238838817683,0.4057899497473951,~compensatory
WMDP Biology,ReasoningxKnowledge,Biology,-0.12938465388743048,-0.38079202464465495,0.4463354035621286,~compensatory
FrontierMath,ReasoningxKnowledge,High End Math Reasoning,-0.13584154803634446,-0.3920905098570443,0.38547010833827045,~compensatory
FrontierMath,ReasoningxAgentic,High End Math Reasoning,-0.13601154464069004,-0.39590780774566653,0.11363594617369993,~compensatory
SEAL Tool Use (Enterprise),KnowledgexAgentic,Agentic Computer Use,-0.13883156115813686,-0.3779438028882543,0.10938712890133076,~compensatory
Adversarial NLI,ReasoningxAgentic,General Reasoning,-0.1420604702230967,-0.33501596813802753,0.09987204002335413,~compensatory
MMLU Pro Biology,KnowledgexAgentic,Biology,-0.14455352319788162,-0.4131490453470397,0.09801070241910152,~compensatory
PRBench Finance,ReasoningxAgentic,Domain Specific Questions,-0.1482308358457159,-0.38330973243010996,0.0647544121601893,~compensatory
WMDP Biology,KnowledgexAgentic,Biology,-0.1483268306540349,-0.4260793379718985,0.12058767960191565,~compensatory
FrontierMath,KnowledgexAgentic,High End Math Reasoning,-0.15301143642991316,-0.5904900840941366,0.3469785151222379,~compensatory
MMLU Chemistry,ReasoningxAgentic,Chemistry,-0.16712296827365208,-0.3408095704424261,-0.016064541886764646,sub-additive
MultiChallenge,ReasoningxKnowledge,Advanced Language and Writing,-0.17834828484367357,-0.39381337281053486,0.4766880654603688,~compensatory
HellaSwag,KnowledgexAgentic,General Reasoning,-0.17957547115911085,-0.31634272711378586,-0.025908378674274448,sub-additive
SWE-Bench Verified,ReasoningxKnowledge,Autonomous SWE,-0.18180451769942588,-0.3961442558168293,0.33073087084998104,~compensatory
ARC-AGI,ReasoningxAgentic,Core AGI Progress,-0.1938561774617369,-0.4224888019742769,0.2837396405336579,~compensatory
PRBench Legal,ReasoningxAgentic,Domain Specific Questions,-0.19484529504621528,-0.3741680502147684,0.0037451721711822946,~compensatory
MMLU Biology,ReasoningxAgentic,Biology,-0.19612604235116995,-0.39930470796063716,0.02870926533335017,~compensatory
MMLU Pro Biology,ReasoningxAgentic,Biology,-0.19763837309093027,-0.4677125763317034,0.08752580230829816,~compensatory
METR Time Horizons,KnowledgexAgentic,Autonomous SWE,-0.20633652846513126,-0.44324037822565104,0.08336660819630505,~compensatory
ARC (AI2),KnowledgexAgentic,Domain Specific Questions,-0.21008515751989087,-0.35583616321740086,0.015148743705473823,~compensatory
OTIS Mock AIME 2024-2025,ReasoningxAgentic,High End Math Reasoning,-0.21159136544666912,-0.4667622857683447,0.05197474258491787,~compensatory
