benchmark,category,model,is_human,score,lower_bound,gap_below_floor,release_date
GPQA Main Chemistry,Chemistry,Mixtral-8x7B-Instruct-v0.1,False,0.208,0.25,0.042,nan
VPCT,Multimodal Understanding,gemini-2.5-flash-preview-09-2025,False,0.462,0.5,0.038,2025-09-25
ScienceQA,Domain Specific Questions,LLaMA-7B,False,0.3619,0.3983,0.0364,2023-02-24
BoolQ,General Reasoning,text-ada-001,False,0.464,0.5,0.036,nan
VPCT,Multimodal Understanding,gemini-2.5-pro-preview-06-05,False,0.464,0.5,0.036,2025-06-05
GPQA Diamond,Domain Specific Questions,Skilled Generalist,True,0.219,0.25,0.031,
GPQA Main Chemistry,Chemistry,gpt-3.5-turbo-0125,False,0.2189999999999999,0.25,0.031,nan
GPQA Diamond Biology,Biology,Skilled Generalist,True,0.22,0.25,0.03,
GPQA Diamond Chemistry,Chemistry,Skilled Generalist,True,0.22,0.25,0.03,
OpenBookQA,Domain Specific Questions,gpt2-xl,False,0.224,0.25,0.026,2019-11-05
GPQA Main Chemistry,Chemistry,Llama-3.1-8B-Instruct,False,0.23,0.25,0.02,nan
VPCT,Multimodal Understanding,gemini-2.5-pro-preview-03-25,False,0.48,0.5,0.02,2025-03-31
MMLU Chemistry,Chemistry,Mistral-7B-Instruct-v0.2,False,0.23,0.25,0.02,nan
ARC (AI2),Domain Specific Questions,opt-1.3b,False,0.232,0.25,0.018,2022-05-11
OpenBookQA,Domain Specific Questions,gpt-neo-2.7B,False,0.232,0.25,0.018,2023-03-30
OpenBookQA,Domain Specific Questions,opt-1.3b,False,0.24,0.25,0.01,2022-05-11
WMDP Chemistry,Chemistry,Mistral-7B-Instruct-v0.2,False,0.243,0.25,0.007,nan
GPQA Main Chemistry,Chemistry,claude-3-sonnet-20240229,False,0.246,0.25,0.004,nan
GPQA Diamond,Domain Specific Questions,deepseek-llm-67b-chat,False,0.2462121212121212,0.25,0.0038,2023-11-29
GPQA Diamond Chemistry,Chemistry,grok-2-1212,False,0.247,0.25,0.003,nan
GPQA Diamond Chemistry,Chemistry,Mixtral-8x7B-Instruct-v0.1,False,0.247,0.25,0.003,nan
OTIS Mock AIME 2024-2025,High End Math Reasoning,Llama-2-70b-chat-hf,False,0.0,0.001,0.001,2023-07-18
