check,file,mv,name,kind
effort,critpt_external.csv,gpt-5.1-2025-11-13_unknown,GPT-5.1 (high),stated effort filed as unknown
effort,critpt_external.csv,gpt-5-mini-2025-08-07_unknown,GPT-5 mini (high),stated effort filed as unknown
effort,deepswe_external.csv,muse-spark-1.1,muse-spark-1-1 (xhigh),effort contradiction
effort,deepswe_external.csv,gemini-3.1-pro-preview,gemini-3-1-pro-preview (high),effort contradiction
effort,gdp_pdf_external.csv,grok-4-3,Grok 4.3 (High),effort contradiction
effort,hle_external.csv,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview (thinking high),effort contradiction
effort,scicode_external.csv,gpt-5.1-2025-11-13_unknown,GPT-5.1 (high),stated effort filed as unknown
effort,scicode_external.csv,gpt-5-2025-08-07_unknown,GPT-5 (high),stated effort filed as unknown
effort,scicode_external.csv,gpt-5-mini-2025-08-07_unknown,GPT-5 mini (high),stated effort filed as unknown
effort,scicode_external.csv,muse-spark-1.1,Muse Spark 1.1 (xhigh),effort contradiction
effort,surface_evolver_bench_external.csv,gemma-4-31b-it,gemma-4-31b-it (none),effort contradiction
effort,surface_evolver_bench_external.csv,mistral-medium-2604,mistral-medium-3-5 (high),effort contradiction
effort,vending_bench_2_external.csv,claude-opus-4-8_unknown,Claude Opus 4.8 - High,stated effort filed as unknown
effort,vending_bench_2_external.csv,claude-fable-5,Claude Fable 5 - None,effort contradiction
tier,adversarial_nli_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
tier,ale_bench_external.csv,qwen3.5-flash,qwen3.5-35b-a3b,"id says tier, label does not"
tier,apex_agents_external.csv,gpt-5.6-sol_promax,GPT 5.6 Sol (Max + Pro),"label says tier, id does not"
tier,arc_ai2_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
tier,forecastbench_external.csv,Llama-3.1-405B-Instruct,Meta-Llama-3.1-405B-Instruct-Turbo (zero shot),"label says tier, id does not"
tier,forecastbench_external.csv,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct-Turbo (zero shot),"label says tier, id does not"
tier,forecastbench_external.csv,qwen2.5-72b-instruct,Qwen2.5-72B-Instruct-Turbo (zero shot),"label says tier, id does not"
tier,mmlu_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
tier,mmlu_external.csv,Llama-3.1-8B-Instruct,Llama 3.1 Instruct Turbo (8B),"label says tier, id does not"
tier,mmlu_external.csv,Llama-3.1-70B-Instruct,Llama 3.1 Instruct Turbo (70B),"label says tier, id does not"
tier,mmlu_external.csv,Llama-3.1-405B-Instruct,Llama 3.1 Instruct Turbo (405B),"label says tier, id does not"
tier,mmlu_external.csv,Llama-3.2-11B-Vision-Instruct,Llama 3.2 Vision Instruct Turbo (11B),"label says tier, id does not"
tier,mmlu_external.csv,Llama-3.2-90B-Vision-Instruct,Llama 3.2 Vision Instruct Turbo (90B),"label says tier, id does not"
tier,mmlu_external.csv,Llama-3.3-70B-Instruct,Llama 3.3 Instruct Turbo (70B),"label says tier, id does not"
tier,mmlu_external.csv,qwen2.5-7b-instruct,Qwen2.5 Instruct Turbo (7B),"label says tier, id does not"
tier,mmlu_external.csv,qwen2.5-72b-instruct,Qwen2.5 Instruct Turbo (72B),"label says tier, id does not"
tier,open_book_qa_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
tier,open_book_qa_external.csv,Phi-3-mini-4k-instruct,Phi-3-small,"id says tier, label does not"
tier,open_book_qa_external.csv,Phi-3-mini-4k-instruct,Phi-3-small,"label says tier, id does not"
tier,trivia_qa_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
tier,vending_bench_2_external.csv,qwen3.5-flash,Qwen 3.5 35B A3B,"id says tier, label does not"
tier,wino_grande_external.csv,gpt-3.5-turbo-0613,GPT-3.5,"id says tier, label does not"
tier,wino_grande_external.csv,gpt-3.5-turbo-1106,GPT-3.5 version 1106   ,"id says tier, label does not"
